iter	Passed	Remaining
1174	150604	618438
1175	150730	618301
1176	150856	618164
1177	150980	618021
1178	151106	617884
1179	151234	617755
1180	151359	617614
1181	151483	617470
1182	151608	617329
1183	151736	617198
1184	151859	617047
1185	151984	616906
1186	152109	616768
1187	152235	616630
1188	152356	616475
1189	152482	616335
1190	152606	616193
1191	152731	616052
1192	152861	615929
1193	152989	615800
1194	153113	615656
1195	153238	615514
1196	153362	615372
1197	153487	615230
1198	153610	615083
1199	153736	614945
1200	153862	614811
1201	153987	614668
1202	154113	614533
1203	154249	614434
1204	154385	614338
1205	154523	614249
1206	154661	614161
1207	154799	614073
1208	154937	613983
1209	155073	613886
1210	155226	613857
1211	155370	613788
1212	155506	613692
1213	155644	613604
1214	155780	613507
1215	155918	613415
1216	156057	613330
1217	156195	613239
1218	156332	613146
1219	156485	613114
1220	156621	613018
1221	156747	612878
1222	156871	612736
1223	156997	612598
1224	157121	612452
1225	157246	612310
1226	157372	612176
1227	157496	612028
1228	157620	611886
1229	157745	611744
1230	157869	611601
1231	157994	611458
1232	158117	611311
1233	158243	611173
1234	158379	611074
1235	158514	610974
1236	158654	610890
1237	158791	610794
1238	158930	610706
1239	159072	610634
1240	159210	610540
1241	159347	610447
1242	159487	610364
1243	159624	610269
1244	159762	610177
1245	159902	610092
1246	160038	609994
1247	160173	609893
1248	160315	609813
1249	160452	609719
1250	160589	609625
1251	160725	609524
1252	160860	609419
1253	160983	609271
1254	161108	609132
1255	161233	608990
1256	161357	608846
1257	161482	608703
1258	161606	608558
1259	161731	608418
1260	161855	608272
1261	161982	608141
1262	162108	608002
1263	162233	607863
1264	162362	607736
1265	162486	607590
1266	162609	607444
1267	162733	607300
1268	162858	607158
1269	162984	607022
1270	163111	606888
1271	163237	606750
1272	163361	606607
1273	163485	606462
1274	163610	606320
1275	163735	606180
1276	163859	606038
1277	163984	605895
1278	164112	605766
1279	164238	605628
1280	164362	605484
1281	164488	605348
1282	164616	605217
1283	164744	605088
1284	164868	604946
1285	164998	604821
1286	165122	604678
1287	165253	604559
1288	165382	604435
1289	165509	604302
1290	165636	604167
1291	165760	604026
1292	165885	603885
1293	166010	603743
1294	166135	603605
1295	166262	603471
1296	166386	603326
1297	166511	603186
1298	166636	603047
1299	166759	602898
1300	166882	602753
1301	167010	602623
1302	167135	602482
1303	167258	602337
1304	167383	602196
1305	167506	602047
1306	167628	601897
1307	167753	601756
1308	167879	601619
1309	168005	601484
1310	168128	601336
1311	168254	601203
1312	168377	601056
1313	168500	600908
1314	168624	600766
1315	168749	600625
1316	168873	600481
1317	168999	600346
1318	169126	600213
1319	169249	600067
1320	169374	599927
1321	169500	599790
1322	169625	599649
1323	169748	599505
1324	169872	599362
1325	169997	599222
1326	170123	599085
1327	170252	598959
1328	170381	598835
1329	170507	598700
1330	170631	598556
1331	170758	598425
1332	170884	598286
1333	171008	598143
1334	171133	598005
1335	171257	597861
1336	171382	597722
1337	171511	597597
1338	171636	597460
1339	171761	597320
1340	171886	597179
1341	172014	597051
1342	172138	596910
1343	172262	596765
1344	172386	596625
1345	172509	596478
1346	172642	596367
1347	172778	596266
1348	172914	596163
1349	173050	596064
1350	173188	595967
1351	173329	595885
1352	173468	595792
1353	173605	595694
1354	173743	595600
1355	173881	595504
1356	174016	595401
1357	174156	595311
1358	174293	595213
1359	174444	595164
1360	174583	595070
1361	174718	594967
1362	174853	594862
1363	174990	594762
1364	175129	594670
1365	175265	594568
1366	175403	594473
1367	175538	594368
1368	175669	594246
1369	175799	594124
1370	175931	594010
1371	176056	593868
1372	176181	593730
1373	176306	593591
1374	176429	593444
1375	176554	593305
1376	176678	593161
1377	176804	593026
1378	176928	592884
1379	177053	592744
1380	177178	592606
1381	177302	592463
1382	177427	592321
1383	177550	592178
1384	177676	592042
1385	177800	591899
1386	177924	591756
1387	178048	591614
1388	178173	591474
1389	178306	591360
1390	178456	591304
1391	178583	591171
1392	178705	591024
1393	178829	590880
1394	178959	590758
1395	179087	590627
1396	179211	590486
1397	179337	590352
1398	179463	590215
1399	179590	590083
1400	179718	589954
1401	179850	589838
1402	179990	589747
1403	180127	589649
1404	180268	589560
1405	180408	589472
1406	180548	589380
1407	180694	589309
1408	180819	589169
1409	180942	589027
1410	181066	588883
1411	181202	588779
1412	181332	588658
1413	181461	588531
1414	181593	588412
1415	181723	588290
1416	181846	588146
1417	181972	588008
1418	182102	587888
1419	182227	587749
1420	182351	587606
1421	182476	587467
1422	182599	587322
1423	182725	587186
1424	182851	587050
1425	182978	586915
1426	183102	586776
1427	183226	586631
1428	183356	586508
1429	183482	586372
1430	183609	586241
1431	183735	586105
1432	183864	585980
1433	183993	585854
1434	184127	585743
1435	184261	585631
1436	184397	585529
1437	184529	585412
1438	184669	585321
1439	184812	585240
1440	184952	585147
1441	185093	585060
1442	185233	584967
1443	185375	584883
1444	185515	584790
1445	185653	584691
1446	185791	584595
1447	185928	584494
1448	186065	584391
1449	186203	584295
1450	186340	584192
1451	186477	584090
1452	186613	583987
1453	186752	583890
1454	186886	583779
1455	187009	583635
1456	187135	583497
1457	187260	583359
1458	187385	583220
1459	187508	583073
1460	187630	582927
1461	187754	582784
1462	187876	582636
1463	188001	582497
1464	188124	582351
1465	188249	582211
1466	188373	582069
1467	188498	581931
1468	188623	581792
1469	188749	581656
1470	188874	581518
1471	188998	581374
1472	189121	581231
1473	189246	581090
1474	189372	580955
1475	189496	580815
1476	189621	580675
1477	189744	580531
1478	189869	580393
1479	189994	580252
1480	190120	580117
1481	190254	580006
1482	190384	579882
1483	190509	579743
1484	190633	579603
1485	190758	579463
1486	190883	579324
1487	191007	579183
1488	191131	579040
1489	191256	578902
1490	191382	578767
1491	191505	578624
1492	191637	578505
1493	191775	578408
1494	191913	578308
1495	192051	578208
1496	192192	578116
1497	192329	578015
1498	192466	577912
1499	192603	577809
1500	192739	577704
1501	192874	577595
1502	193012	577496
1503	193146	577384
1504	193299	577329
1505	193436	577227
1506	193574	577125
1507	193709	577018
1508	193849	576924
1509	193987	576823
1510	194123	576719
1511	194260	576613
1512	194385	576475
1513	194508	576330
1514	194632	576189
1515	194761	576061
1516	194885	575920
1517	195008	575776
1518	195134	575639
1519	195260	575505
1520	195387	575372
1521	195513	575235
1522	195635	575089
1523	195760	574951
1524	195886	574814
1525	196014	574684
1526	196136	574538
1527	196275	574438
1528	196420	574358
1529	196560	574265
1530	196698	574164
1531	196835	574059
1532	196971	573954
1533	197109	573852
1534	197244	573743
1535	197380	573638
1536	197518	573536
1537	197654	573430
1538	197790	573323
1539	197928	573222
1540	198070	573131
1541	198204	573018
1542	198338	572907
1543	198476	572805
1544	198614	572704
1545	198751	572600
1546	198877	572464
1547	199002	572324
1548	199127	572185
1549	199251	572045
1550	199377	571907
1551	199502	571769
1552	199626	571628
1553	199750	571487
1554	199874	571344
1555	199997	571201
1556	200123	571064
1557	200248	570926
1558	200374	570791
1559	200501	570656
1560	200626	570519
1561	200751	570381
1562	200875	570241
1563	201001	570104
1564	201134	569988
1565	201272	569887
1566	201408	569778
1567	201547	569680
1568	201685	569577
1569	201822	569473
1570	201959	569368
1571	202096	569262
1572	202234	569162
1573	202375	569069
1574	202511	568962
1575	202647	568854
1576	202783	568746
1577	202919	568636
1578	203056	568533
1579	203195	568431
1580	203330	568322
1581	203472	568230
1582	203608	568122
1583	203747	568022
1584	203873	567886
1585	203999	567751
1586	204126	567619
1587	204252	567482
1588	204375	567338
1589	204497	567190
1590	204623	567054
1591	204748	566916
1592	204871	566771
1593	204993	566627
1594	205119	566490
1595	205244	566352
1596	205369	566213
1597	205499	566088
1598	205625	565953
1599	205749	565811
1600	205876	565678
1601	206000	565538
1602	206129	565408
1603	206255	565274
1604	206388	565157
1605	206526	565053
1606	206662	564946
1607	206799	564840
1608	206935	564732
1609	207071	564624
1610	207211	564525
1611	207348	564419
1612	207485	564312
1613	207628	564224
1614	207763	564114
1615	207898	564002
1616	208036	563898
1617	208172	563789
1618	208310	563686
1619	208446	563577
1620	208585	563476
1621	208721	563368
1622	208858	563261
1623	208996	563158
1624	209123	563024
1625	209248	562886
1626	209374	562750
1627	209498	562610
1628	209624	562474
1629	209755	562350
1630	209878	562208
1631	210004	562070
1632	210128	561930
1633	210256	561797
1634	210381	561659
1635	210508	561526
1636	210649	561430
1637	210774	561292
1638	210900	561157
1639	211032	561036
1640	211175	560947
1641	211305	560821
1642	211429	560681
1643	211554	560543
1644	211678	560401
1645	211804	560266
1646	211929	560127
1647	212056	559995
1648	212183	559861
1649	212308	559722
1650	212432	559581
1651	212553	559433
1652	212679	559297
1653	212802	559153
1654	212925	559011
1655	213051	558873
1656	213178	558741
1657	213302	558599
1658	213426	558460
